LEXEMES BELLOW: 
----->line: 1, Lexeme: Program , token( Keyword ,  )
----->line: 1, Lexeme: Pzim , token( ID , 1 )
----->line: 1, Lexeme: ; , token( ; , semicolon )
----->line: 3, Lexeme: Var , token( Keyword ,  )
----->line: 3, Lexeme: ano , token( ID , 2 )
----->line: 3, Lexeme: : , token( : , colon )
----->line: 3, Lexeme: integer , token( Keyword ,  )
----->line: 3, Lexeme: ; , token( ; , semicolon )
----->line: 4, Lexeme: anoatual , token( ID , 3 )
----->line: 4, Lexeme: : , token( : , colon )
----->line: 4, Lexeme: string , token( Keyword ,  )
----->line: 4, Lexeme: ; , token( ; , semicolon )
----->line: 5, Lexeme: soma , token( ID , 4 )
----->line: 5, Lexeme: : , token( : , colon )
----->line: 5, Lexeme: integer , token( Keyword ,  )
----->line: 5, Lexeme: ; , token( ; , semicolon )
----->line: 6, Lexeme: flow , token( ID , 5 )
----->line: 6, Lexeme: : , token( : , colon )
----->line: 6, Lexeme: real , token( Keyword ,  )
----->line: 6, Lexeme: ; , token( ; , semicolon )
----->line: 7, Lexeme: teste , token( ID , 6 )
----->line: 7, Lexeme: : , token( : , colon )
----->line: 7, Lexeme: real , token( Keyword ,  )
----->line: 7, Lexeme: ; , token( ; , semicolon )
----->line: 9, Lexeme: PROCEDURE , token( Keyword ,  )
----->line: 9, Lexeme: teste , token( ID , 6 )
----->line: 9, Lexeme: ( , token( ( , lp )
----->line: 9, Lexeme: a , token( ID , 7 )
----->line: 9, Lexeme: : , token( : , colon )
----->line: 9, Lexeme: integer , token( Keyword ,  )
----->line: 9, Lexeme: ; , token( ; , semicolon )
----->line: 9, Lexeme: b , token( ID , 8 )
----->line: 9, Lexeme: : , token( : , colon )
----->line: 9, Lexeme: integer , token( Keyword ,  )
----->line: 9, Lexeme: ) , token( ) , rp )
----->line: 10, Lexeme: BEGIN , token( Keyword ,  )
----->line: 12, Lexeme: teste , token( ID , 6 )
----->line: 12, Lexeme: = , token( = , equal )
----->line: 12, Lexeme: a , token( ID , 7 )
----->line: 12, Lexeme: + , token( + , plus )
----->line: 12, Lexeme: b , token( ID , 8 )
----->line: 12, Lexeme: ; , token( ; , semicolon )
----->line: 13, Lexeme: end , token( Keyword ,  )
----->line: 13, Lexeme: ; , token( ; , semicolon )
----->line: 15, Lexeme: Begin , token( Keyword ,  )
----->line: 16, Lexeme: writeln , token( Function,  )
----->line: 16, Lexeme: ( , token( ( , lp )
----->line: 16, Lexeme: 'O ano em que voce nasceu   ' , token( String, 'O ano em que voce nasceu   ' )
----->line: 16, Lexeme: ) , token( ) , rp )
----->line: 16, Lexeme: ; , token( ; , semicolon )
----->line: 17, Lexeme: writeln , token( Function,  )
----->line: 17, Lexeme: ; , token( ; , semicolon )
----->line: 18, Lexeme: ano , token( ID , 2 )
----->line: 18, Lexeme: := , token( := , assign_op )
----->line: 18, Lexeme: 5.3 , token( real , 5.3 )
----->line: 19, Lexeme: writeln , token( Function,  )
----->line: 19, Lexeme: ; , token( ; , semicolon )
----->line: 20, Lexeme: writeln , token( Function,  )
----->line: 20, Lexeme: ; , token( ; , semicolon )
----->line: 21, Lexeme: anoatual , token( ID , 3 )
----->line: 21, Lexeme: := , token( := , assign_op )
----->line: 21, Lexeme: 'olá mundo' , token( String, 'olá mundo' )
----->line: 22, Lexeme: writeln , token( Function,  )
----->line: 22, Lexeme: ( , token( ( , lp )
----->line: 22, Lexeme: 'quantos anos voce fez ou irá fazer no ano atual?' , token( String, 'quantos anos voce fez ou irá fazer no ano atual?' )
----->line: 22, Lexeme: ) , token( ) , rp )
----->line: 22, Lexeme: ; , token( ; , semicolon )
----->line: 23, Lexeme: readln , token( Function,  )
----->line: 23, Lexeme: ( , token( ( , lp )
----->line: 23, Lexeme: ano , token( ID , 2 )
----->line: 23, Lexeme: ) , token( ) , rp )
----->line: 23, Lexeme: ; , token( ; , semicolon )
